Token,PostingList
manhattan,37.txt 47.txt 
manned,24.txt 
manually,20.txt 
manufacturing,19.txt 
many,14.txt 21.txt 22.txt 
map,21.txt 6.txt 
mara,50.txt 
marble,34.txt 
march,7.txt 
marina,34.txt 
market,29.txt 42.txt 45.txt 49.txt 
marketing,25.txt 
markey,17.txt 
mass,14.txt 
master,30.txt 
match,50.txt 
matt,26.txt 
mature,14.txt 
mavic,24.txt 
max,7.txt 
maximum,34.txt 
may,25.txt 28.txt 5.txt 
meant,12.txt 
meanwhile,44.txt 
measure,20.txt 3.txt 
mechanic,18.txt 25.txt 
mechanical,21.txt 
medical,5.txt 
medium,23.txt 
meet,11.txt 23.txt 3.txt 50.txt 
meeting,21.txt 3.txt 5.txt 
megalopolis,49.txt 
mekong,42.txt 
memory,2.txt 
memristors,2.txt 
men,18.txt 
mention,12.txt 
merate,1.txt 
merchandise,18.txt 
merge,1.txt 
merger,1.txt 
metal,2.txt 
meter,27.txt 4.txt 
metra,20.txt 
metropolis,44.txt 
metropolitan,45.txt 
meyer,36.txt 
mic,12.txt 
micro,22.txt 
micron,7.txt 
microphone,12.txt 
microphone-equipped,12.txt 
microsd,7.txt 
microsdxc,7.txt 
middle,20.txt 
might,10.txt 22.txt 9.txt 
millennia-old,15.txt 
million,13.txt 25.txt 29.txt 3.txt 36.txt 38.txt 4.txt 45.txt 47.txt 
minh,42.txt 
minor,15.txt 
minute,24.txt 
mission,14.txt 
misty-eyed,40.txt 
